Alkaline-earth metals,碱土金属
Ethyl alcohol,乙醇
Aldehydes*,醛
Alumina,矾土
Aluminium alum,铝矾
Aluminium hydrate,氢氧化铝
Aluminium silicate,硅酸铝
Aluminium chloride,氯化铝
Aluminium iodide,碘化铝
Alum,明矾
Starch for industrial purposes,工业用淀粉
Sal ammoniac,氯化铵
Spirits of salt,盐酸溶液
Ammoniacal salts,氨盐
Ammonium aldehyde,氨醛
Ammonia alum,铵明矾
Amyl acetate,乙酸戊酯
Amyl alcohol,戊醇
Anhydrides,酐
Animal albumen [raw material],动物蛋白(原料)
Anthranilic acid,邻氨基苯甲酸
Antimony oxide,氧化锑
Antimony sulfide,硫化锑
Lead arsenate,砷酸铅
Arsenious acid,亚砷酸
Nitric acid,硝酸
Soda ash,纯碱
Soda ash,苏打灰
Baryta,氧化钡
Barium compounds,钡化合物
Bases [chemical preparations],碱(化学制剂)
Benzene-based acids,苯基酸
Benzene derivatives,苯衍生物
Benzoic acid,苯酸
Bichloride of tin,二氯化锡
Bichromate of potassium,重铬酸钾
Bichromate of soda,重铬酸钠
Potassium dioxalate,草酸氢钾
Manganese dioxide,二氧化锰
Basic gallate of bismuth,碱式棓酸铋
Wood alcohol,木醇
Pyroligneous acid [wood vinegar],木醋
Wood vinegar [pyroligneous acid],焦木酸
Borax,硼砂
Boric acid for industrial purposes,工业用硼酸
Catechu,儿茶
Kainite,钾盐镁矾
Carbonates,碳酸盐
Magnesium carbonate,碳酸镁
Carbon disulfide,二硫化碳
Carbonic acid,碳酸
Carbide,碳化物
Calcium carbide,碳化钙
Cellulose,纤维素
Salts from rare earth metals,稀土金属盐
Ketones,酮
Lime acetate,醋酸钙
Lime carbonate,碳酸钙
Lime chloride,氯化钙
Chlorates,氯酸盐
Hydrochlorates,盐酸盐
Hydrochloric acid,盐酸
Cholic acid,胆酸
Chromates,铬酸盐
Chrome alum,铬矾
Chromium oxide,氧化铬
Chrome salts,铬盐
Chromic acid,铬酸
Citric acid for industrial purposes,工业用柠檬酸
Cream of tartar for chemical purposes,化学用酒石酸氢钾
Crotonic aldehyde,巴豆醛
Copper sulfate [blue vitriol],硫酸铜(蓝矾)
Blue vitriol,蓝矾
Cyanides [prussiates],氰化物
Prussiates,氰化物
Ferrocyanides,氰亚铁酸盐
Cymene,甲基异丙基苯
Diastase for industrial purposes,工业淀粉酶
Distilled water,蒸馏水
Dolomite for industrial purposes,工业用白云石
Glycerine for industrial purposes,工业用甘油
Enzyme preparations for industrial purposes,工业用酶制剂
Enzymes for industrial purposes,工业用酶
Spirits of vinegar [dilute acetic acid],冰醋酸(稀醋酸)
Esters*,酯
Ethane,乙烷
Ethers*,醚
Ethyl ether,乙醚
Glycol ether,乙二醇醚
Methyl ether,甲醚
Sulfuric ether,硫酸醚
Iron salts,铁盐
Ferments for chemical purposes,化学用酵素
Fluorspar compounds,莹石化合物
Hydrofluoric acid,氢氟酸
Formic acid,甲酸
Formic aldehyde for chemical purposes,化学用甲醛
Gallic acid for the manufacture of ink,制墨用棓酸
Rock salt,岩盐
Glucosides,糖苷
Glycerides,甘油酯
Glycol,乙二醇
Fatty acids,脂肪酸
Hydrates,水合物
Carbonic hydrates,碳水化合物
Hydrazine,联氨
Hypochlorite of soda,次氯酸苏打
Hyposulfites,连二亚硫酸盐
Iodised salts,碘盐
Iodic acid,碘酸
Kieselgur,硅藻土
Lactic acid,乳酸
Lithia [lithium oxide],氧化锂
Magnesite,菱镁矿
Magnesium chloride,氯化镁
Manganate,锰酸盐
Mercury salts,汞盐
Mercuric oxide,氧化汞
Salts of precious metals for industrial purposes,工业用贵重金属盐
Methane,甲烷
Mineral acids,无机酸
Salts for industrial purposes,工业用盐
Naphthalene,萘
Uranium nitrate,硝酸铀
Oleic acid,油酸
Olivine [silicate mineral],橄榄石(硅酸盐矿石)
Gold salts,氯金酸钠
Sorrel salt,一水草酸氢钾
Oxalates,草酸盐
Oxalic acid,草酸
Hydrogen peroxide for industrial purposes,工业用过氧化氢
Palladium chloride,氯化钯
Perborate of soda,过硼酸钠
Percarbonates,过碳酸盐
Perchlorates,高氯酸盐
Persulfates,过硫酸盐
Persulfuric acid,过硫酸
Phenol for industrial purposes,工业用酚
Phosphatides,磷脂
Phosphoric acid,磷酸
Picric acid,苦味酸
Lead acetate,醋酸铅
Lead oxide,氧化铅
Potash,碳酸钾
Potash water,碳酸钾水
Protein [raw material],蛋白质(原料)
Pyrogallic acid,焦棓酸
Salicylic acid,水杨酸
Salpetre,硝酸钾
Saltpeter,硝酸钾
Sebacic acid,癸二酸
Salts [chemical preparations],盐类(化学制剂)
"Salt, raw",原盐
Chromic salts,正铬盐
Silicates,硅酸盐
Sulfides,硫化物
Calcined soda,煅烧苏打
Caustics for industrial purposes,工业用苛性碱
Caustic soda for industrial purposes,工业用苛性钠
Sodium salts [chemical compounds],钠盐(化合物)
Bismuth subnitrate for chemical purposes,化学用次硝酸铋
Barytes,重晶石
Spinel [oxide mineral],尖晶石(氧化物矿石)
Stearic acid,硬脂酸
Sulfonic acids,磺酸
Sulfurous acid,亚硫酸
Sulfuric acid,硫酸
Talc [magnesium silicate],滑石(镁铝合金硅酸盐)
Tannin,单宁
Calcium salts,钙盐
Tannic acid,单宁酸
Tapioca flour for industrial purposes,工业用木薯粉
Tartar other than for pharmaceutical purposes,非药用酒石
Tartaric acid,酒石酸
Surface-active chemical agents,表面活性剂
Tensio-active agents,表面活性剂
Carbon tetrachloride,四氯化碳
Tetrachlorides,四氯化物
Thiocarbanilide,对称二苯硫脲
Titanium dioxide for industrial purposes,工业用二氧化钛
Titanite,榍石
Toluene,甲苯
Toluol,甲苯
Tungstic acid,钨酸
Vinic alcohol,酒精
Vulcanising preparations,硫化剂
Witherite,碳酸钡石
Chlorides,氯化物
Sulfates,硫酸盐
Zirconia,氧化锆
Volatile alkali [ammonia] for industrial purposes,工业用挥发碱(氨水)
Ammonia [volatile alkali] for industrial purposes,工业用氨水(挥发性碱)
Alkaline iodides for industrial purposes,工业用碱性碘化物
Salts of alkaline metals,碱金属盐
Alkaloids*,生物碱
Alginates for industrial purposes,工业用藻酸盐
Aluminium acetate*,乙酸铝
Aluminium acetate*,醋酸铝
Ammonium salts,铵盐
Silver nitrate,硝酸银
Nitrates,硝酸盐
Barium sulfate,硫酸钡
Methyl benzol,工业用甲基苯
Methyl benzene,甲基苯
Bicarbonate of soda for chemical purposes,化学用小苏打
Lecithin [raw material],卵磷脂(原料)
Cellulose esters for industrial purposes,工业用纤维素酯
Casein for industrial purposes,工业酪蛋白
Cellulose derivatives [chemicals],纤维素衍生物(化学品)
Cellulose ethers for industrial purposes,工业用纤维素醚
Cobalt oxide for industrial purposes,工业用氧化钴
Glucose for industrial purposes,工业用葡萄糖
Diatomaceous earth,硅藻土
"Camphor, for industrial purposes",工业用樟脑
Lecithin for industrial purposes,工业用卵磷脂
Pectin for industrial purposes,工业用果胶
Cream of tartar for industrial purposes,工业用酒石酸氢钾
Gluten for industrial purposes,工业用谷蛋白
Lactose for industrial purposes,工业用乳糖
Lactose [raw material],乳糖(原料)
Sal ammoniac spirits,氯化铵溶液
Glutamic acid for industrial purposes,工业用谷氨酸
Collagen for industrial purposes,工业用胶原蛋白
Silicon carbide [raw material],碳化硅(原材料)
Proteins for use in manufacture,生产用蛋白质
Ammonium nitrate,硝酸铵
Flavonoids for industrial purposes [phenolic compounds],工业用类黄酮(酚类化合物)
Thymol for industrial purposes,工业用麝香草酚
Calomel [mercurous chloride],甘汞(氯化亚汞)
Xylol,混合二甲苯
Xylene,二甲苯
Benzene,苯
Benzol,粗制苯
Battery sulfuric acid,蓄电池硫酸
Chlorosulfonic acid,氯磺酸
Chromium trioxide,铬酸酐
Molybdic acid,钼酸
Potassium hydroxide,氢氧化钾
Sodium hydrogen carbonate,碳酸氢钠
Strontium hydroxide,氢氧化锶
Magnesium hydroxide,氢氧化镁
Cerium hydroxide,氢氧化铈
Lithium hydroxide,氢氧化锂
Praseodymium hydroxide,氢氧化镨
Medical stone,麦饭石
Silica gel,硅胶
Columbium carbide,碳化铌
Niobium carbide,碳化铌
Tungsten carbide,碳化钨
Synthetic barium,合成钡
Industrial bismuth nitrate,工业用硝酸铋
Ammonium bicarbonate,碳酸氢铵
Light calcium carbonate,轻质碳酸钙
Nickel salt,镍盐
Potassium metasilicate,硅酸钾
Potassium silicate,硅酸钾
Calcium silicate,硅酸钙
Ice crystal powder,冰晶粉
Cobalt zirconate,锆酸钴
Copper carbonate,碳酸铜
Zinc carbonate,碳酸锌
Lithium carbonate,碳酸锂
Ammonium tungstate,钨酸铵
Calcium tungstate,钨酸钙
Zinc tungstate,钨酸锌
Potassium fluosilicate,氟硅酸钾
Potassium silicofluoride,氟硅酸钾
Potassium zirconium fluoride,锆氟酸钾
Calcium hydrosulfide,硫氢化钙
Strontium carbonate,碳酸锶
Cobalt chloride,氯化钴
Cadmium chloride,氯化镉
Iron sulfide,硫化铁
Glacial acetic acid,冰醋酸
Formic acid,蚁酸
Dilute acetic acid,稀醋酸
Propionic acid,丙酸
Butyric acid,丁酸
Methacrylic acid,甲基丙烯酸
Butanedioic acid,琥珀酸
Succinic acid,琥珀酸
Adipic acid,己二酸
Butanedicarboxylic acid,己二酸
Hexanedioic acid,己二酸
Chloroacetic acid,氯乙酸
Naphthenic acid,环烷酸
Mahogany acid,石油磺酸
P-phthalic acid,对苯二甲酸
Phenylacetic acid,苯醋酸
Phathalic anhydride,邻苯二甲酸酐
Phthalic anhydride,邻苯二甲酸酐
Cis-butenedioic anhydride,顺丁烯二酸酐(即失水草果酸酐)
Metol,米吐尔
Benzyl chloride,氯化苄
Sodium formate,蚁酸钠
Potassium acetate,醋酸钾
Zinc acetate,醋酸锌
Cobalt acetate,醋酸钴
Manganese? acetate,醋酸锰
Antimonyl potassium tartrate,吐酒石(即酒石酸锑钾)
Antimonyl sodium tartrate,酒石酸锑钠
Laurel oil,肉桂油
Pentyl acetate,戊基醋酸盐
Gallic acid,没食子酸
Trihydroxybenzoic acid,没食子酸
Ethylene,乙烯
Butylene,丁烯
Isobutylene,异丁烯
Isoprene,异戊二烯
Ethyl benzene,乙基苯
Phenylethene,苯乙烯
Styrene,苯乙烯
Isopropyl benzene,异丙苯
Phenyl alkane,苯烷
Aniline,苯胺
Light benzene,轻苯
Vinyl chloride,氯乙烯
Chlorbutadiene,氯丁二烯
Dichloroethane,二氯乙烷
Epoxy propane,环氧丙烷
Chloromethane,一氯甲烷
Dichloromethane,二氯甲烷
Industrial trichloromethane,工业用三氯甲烷
Chloroethane,氯乙烷
Vinyl trichloride,三氯乙烯
Chlorinated polyvinyl chloride,过氯乙烯
Chlorovinylidene,偏氯乙烯
P-dichlorobenzene,对二氯苯
O-dichlorobenzene,邻二氯苯
Dinitrochlorobenzene,二硝基氯化苯
P-nitrochlorobenzene,对硝基氯化苯
O-nitrochlorobenzene,邻硝基氯化苯
Biphenyl,联苯
M-dichlorobenzene,间二氯苯
Refined methanol,精甲醇
Isopropanol,异丙醇
Butanol,丁醇
Octanol,辛醇
Propylene glycol,丙二醇
Chloroethanol,氯乙醇
Propenol,丙烯醇
Isobutanol,异丁醇
Tertiary butanol,叔丁醇
Hexyl alcohol,己醇
Cyclohexanol,环己醇
Diglycol,一缩二乙二醇
Triethylene-glycol,二缩三乙二醇
Pentaerythritol,季戊四醇
Sugar alcohol,糖醇
Sorbitol,山梨醇
Biphenyl ether,联苯醚
Ethylene oxide,环氧乙烷
Isopropyl ether,异丙醚
Guaiacol,愈疮木酚
P-nitrophenol,对硝基苯酚
Hydrochinone,对苯二酚
Resorcinol,间苯二酚
Sodium p-nitrophenolate,对硝基苯酚钠
P-aminophenol,对氨基酚
M-aminophenol,间氨基酚
Phenol,苯酚
Tan-wood,2-萘酚
Ethyl aniline,一乙基苯胺
Diphenylamine,二苯胺
Acetanilide,乙酰苯胺
Benzene acetamide,苯乙酰胺
Vinyl polyamine,多乙烯多胺
Alphanaphthylamine,甲萘胺
Hydroxylamine hydrochloride,盐酸羟基胺
Dicyandiamide,双氰胺
Melamine,三聚氰胺
Formamide,甲酰胺
Monomethyl amine,一甲胺
Dimethylamine,二甲胺
Diethylamine,二乙胺
Ethylenediamine,乙二胺
Triethanolamine,三乙醇胺
Diethanol amine,二乙醇胺
Monoethanolamine,一乙醇胺
Thiourea,硫脲
Guanidine nitrate,硝酸胍
Hydrazine sulfate,硫酸肼
Diphenyl methanol peroxide,过氧化二苯甲醇
Acetonitrile,乙腈
Trichloromelamine,三氯三聚氰
Saponin,皂素
Tetramethylpyridine,四甲基吡啶
Bromopyridine palmitate,溴化棕榈酸吡啶
Acrylonitrile,丙烯腈
Benzaldehyde,苯甲醛
Butyraldehyde,丁醛
Furfural,糠醛
Heptaldehyde,庚醛
Trioxymethylene,三聚甲醛
Paraformaldehyde,多聚甲醛
Cyclohexanone,环己酮
P-nitroacetophenone,对硝基苯乙酮
Diethyl ketone,双乙酮
Acrolein,丙烯醛
Dimethyl sulfate,硫酸二甲酯
Ethyl acetoacetate,乙酰乙酸乙酯
Methyl methacrylate,甲基丙烯酸甲酯
Tributyl phosphate,磷酸三丁酯
Aldehydeester,醛酯
Ethyl acrylate,丙烯乙酯
Butyl acrylate,丁酯
Ethyl acrylate,丙烯酸2-乙基乙酯
Actinium,锕
Americium,镅
Fuel for atomic piles,原子堆用燃料
Berkelium,锫
Californium,锎
Fermium,镄
Moderating materials for nuclear reactors,核反应堆减速材料
Fissionable chemical elements,可裂变的化学元素
Curium,锔
Heavy water,重水
Fissionable material for nuclear energy,核能用可裂变物质
Francium,钫
Isotopes for industrial purposes,工业用同位素
Neptunium,镎
Plutonium,钚
Polonium,钋
Promethium,钷
Protactinium,镤
Radioactive elements for scientific purposes,科学用放射性元素
Radium for scientific purposes,科学用镭
Thorium,钍
Uranium,铀
Uranium oxide,氧化铀
Combusting preparations [chemical additives to motor fuel],易燃制剂(发动机燃料用化学添加剂)
"Salt for preserving, other than for foodstuffs",非食品用防腐盐
Auxiliary fluids for use with abrasives ,和研磨剂配用的辅助液
Vulcanisation accelerators,硫化加速剂
Anti-frothing solutions for batteries,电池用防泡沫溶液
Anti-frothing solutions for accumulators,蓄电池用防泡沫溶液
"Acetate of cellulose, unprocessed",未加工醋酸纤维素
Chemical condensation preparations,化学冷凝制剂
Acid proof chemical compositions,耐酸化学物质
Finishing preparations for use in the manufacture of steel,钢材精加工制剂
"Additives, chemical, to drilling muds",钻探泥浆用化学添加剂
Chemical additives to drilling muds,钻探泥浆用化学添加剂
"Additives, chemical, to motor fuel",发动机燃料化学添加剂
Chemical additives to motor fuel,汽车燃料化学添加剂
Detergent additives to gasoline,汽油净化添加剂
Detergent additives to gasoline [petrol],汽油净化添加剂
Detergent additives to petrol [gasoline],汽油净化添加剂
Water-softening preparations,水软化剂
Activated carbons,活性碳
Activated charcoal,活性碳
Propellant gases for aerosols,喷雾器用气体推进剂
Agglutinants for concrete,混凝土用凝结剂
Chemical preparations for facilitating the alloying of metals,促进金属合金形成用化学制剂
Starch-liquifying chemicals [ungluing agents],液化淀粉制剂(去胶剂)
Ungluing agents [chemical preparations for liquifying starch],液化淀粉制剂(去胶剂)
Animal charcoal,动物炭
Anti-knock substances for internal combustion engines,内燃机抗爆剂
Antifreeze,防冻剂
Anti-incrustants,防水垢剂
Size for use in the textile industry,纺织工业用上浆料
Silver salt solutions for silvering,镀银用银盐溶液
Chemical preparations for decarbonising engines,引擎脱碳用化学品
Engine-decarbonising chemicals,引擎脱碳用化学品
Textile-brightening chemicals,纺织品上光化学品
Baths for galvanizing,电镀液
Galvanizing baths,镀锌液
Substances for preventing runs in stockings,长袜用防抽丝物质
"Chemicals, except pigments, for the manufacture of enamel",除颜料外的制造搪瓷用化学品
Bauxite,铝土矿
Bentonite,膨润土
Concrete-aeration chemicals,混凝土充气用化学品
"Concrete preservatives, except paints and oils",混凝土用除油漆和油外的保护剂
Moistening [wetting] preparations for use in bleaching,漂白用浸湿剂
Wetting preparations for use in bleaching,漂白用润湿剂
Wax-bleaching chemicals,蜡漂白化学品
Drilling muds,钻探泥浆
Condensation-preventing chemicals,防冷凝化学品
Rubber preservatives,橡胶保护剂
Catalysts,催化剂
Ceramic glazings,陶瓷釉
Animal carbon preparations,动物碳制剂
Carbon for filters,过滤用碳
Bone charcoal,骨炭
Blood charcoal,血炭
Coal saving preparations,节煤剂
"Chimney cleaners, chemical",清洁烟筒用化学品
Industrial chemicals,工业用化学品
"Cement-waterproofing chemicals, except paints",除油漆外的水泥防水化学品
"Cement preservatives, except paints and oils",水泥用除油漆和油外的保护剂
Fluids for hydraulic circuits,液压循环用传动液
Liquids for hydraulic circuits,液压循环用传动液
Size for finishing and priming,罩面漆和底漆上浆料
Collodion*,火棉胶
Salts for coloring [colouring] metal,金属着色用盐
Salts for coloring metal,金属着色用盐
Salts for colouring metal,金属着色用盐
Preservatives for use in the pharmaceutical industry,制药工业用保存剂
Corrosive preparations,腐蚀剂
Degreasing preparations for use in manufacturing processes,生产加工用除脂剂
Grease-removing preparations for use in manufacturing processes,生产加工用除脂剂
Unsticking and separating preparations,分离和脱胶用制剂
Ungluing preparations,脱胶制剂(分离)
Separating and unsticking [ungluing] preparations,脱胶和分离用制剂
Oil-separating chemicals,油分离化学品
Gum solvents,胶溶剂
Degumming preparations,脱胶制剂(溶胶)
Mold-release preparations,脱模制剂
Mould-release preparations,脱模制剂
Polish removing substances,去光材料
Substances for removing polish,去光材料
Dehydrating preparations for industrial purposes,工业脱水制剂
Disincrustants,除水垢剂
Detergents for use in manufacturing processes,生产加工用去污剂
Renovating preparations for phonograph records,唱片修复制剂
Metal hardening preparations,金属硬化剂
Acidulated water for recharging batteries,电池充电用酸性水
Acidulated water for recharging accumulators,蓄电池充电用酸性水
Purification preparations,净化剂(澄清剂)
Clarification preparations,澄清剂
Ion exchangers [chemicals],离子交换剂
Flashlight preparations,闪光灯用制剂
Fuel-saving preparations,燃料节省剂
"Antistatic preparations, other than for household purposes",非家用抗静电剂
Salts for galvanic batteries,原电池盐
Salts for galvanic cells,原电池盐
Opacifiers for enamel,搪瓷遮光剂
Opacifiers for glass,玻璃遮光剂
Enamel-staining chemicals,搪瓷着色化学品
Emulsifiers,乳化剂
Gas purifying preparations,气体净化剂
Preparations for the purification of gas,气体净化剂
Stain-preventing chemicals for use on fabrics,织物用防污化学品
Flour for industrial purposes,工业用面粉
Compositions for threading,加工螺纹用合成剂
Limestone hardening substances,石灰石硬化物
Foundry molding [moulding] preparations,铸造制模用制剂
Foundry molding preparations,铸造制模用制剂
Foundry moulding preparations,铸造制模用制剂
Fulling preparations for use in the textile industry,纺织工业用漂洗剂
Fulling preparations,漂洗剂
Brake fluid,制动液
Brake fluid,刹车液
Lamp black for industrial purposes,工业用灯黑
Gallnuts,五倍子
Galvanizing preparations,电镀制剂
Getters [chemically active substances],吸气剂(化学活性物质)
Fat-bleaching chemicals,脂肪漂白化学品
"Balm of gurjun [gurjon, gurjan] for making varnish",制清漆用的羯布罗香膏
Petroleum dispersants,石油分散剂
Oil dispersants ,油分散剂
Oil-bleaching chemicals,油漂白化学品
Oil-purifying chemicals,油净化化学品
Textile-waterproofing chemicals,纺织品防水化学品
Textile-impregnating chemicals,纺织品浸渍化学品
China clay,瓷土
China slip,瓷土
Kaolin,高岭土
Preparations for preventing the tarnishing of lenses,镜头防污剂
"Masonry preservatives, except paints and oils",石建筑用除油漆和油外的保护剂
"Brickwork preservatives, except paints and oils",砖建筑用除油漆和油外的保护剂
Mangrove bark for industrial purposes,工业用红树皮
Glass-frosting chemicals,制毛玻璃用化学品
Chemical preparations to prevent mildew,防霉化学制剂
Moistening [wetting] preparations for use in dyeing,染色用浸湿剂
Wetting preparations for use in dyeing,染色用润湿剂
Toxic gas neutralizers,毒气中和剂
Potato flour for industrial purposes,工业用土豆粉
Quebracho for industrial purposes,工业用白雀树皮
Refrigerants,制冷剂
By-products of the processing of cereals for industrial purposes,工业用谷物加工的副产品
Foundry sand,铸造用沙
Soap [metallic] for industrial purposes,工业用肥皂(含金属)
Soot for industrial or agricultural purposes,工业或农业用煤灰
Liquids for removing sulfates from batteries,电池硫酸盐清除剂
Liquids for removing sulfates from accumulators,蓄电池硫酸盐清除剂
Glass-staining chemicals,玻璃着色化学品
Preparations for preventing the tarnishing of glass,玻璃防污剂
Anti-tarnishing chemicals for windows,窗玻璃防污用化学品
Fuller's earth for use in the textile industry,纺织工业用漂白土
Moistening [wetting] preparations for use in the textile industry,纺织工业用浸湿剂
Wetting preparations for use in the textile industry,纺织工业用润湿剂
"Preservatives for tiles, except paints and oils",砖瓦用除油漆和油外的保护剂
Water glass [soluble glass],水玻璃(硅酸钠水溶液)
Preparations for stimulating cooking for industrial purposes,工业用蒸煮激发剂
Animal carbon,动物碳
Color- [colour-] brightening chemicals for industrial purposes,工业用亮色化学品
Color-brightening chemicals for industrial purposes,工业用亮色化学品
Colour-brightening chemicals for industrial purposes,工业用亮色化学品
Chemicals for the manufacture of paints,制漆用化学品
Bleaching preparations [decolorants] for industrial purposes,工业用脱色剂
Decolorants for industrial purposes,工业用脱色剂
Preparations of the distillation of wood alcohol,木醇蒸馏剂
Flocculants,絮凝剂
Carbon black for industrial purposes,工业用炭黑
Creosote for chemical purposes,化学用杂酚油
Compositions for the manufacture of phonograph records,制唱片用合成物
Preparations for the separation of greases,油脂分离剂
Solvents for varnishes,清漆溶剂
Water purifying chemicals,水净化用化学品
Emollients for industrial purposes,工业用软化剂
Filtering materials [chemical preparations],过滤材料(化学制剂)
Filtering materials [mineral substances],过滤材料(矿物质)
Filtering materials [vegetable substances],过滤材料(植物质)
"Damp-proofing chemicals, except paints, for masonry",除油漆外的砖石建筑防潮化学品
Synthetic materials for absorbing oil,吸油用合成材料
"Ceramic materials in particulate form, for use as filtering media",用作过滤介质的颗粒状陶瓷材料
Compositions for the manufacture of technical ceramics,制技术陶瓷用合成物
Mordants for metals,金属腐蚀剂
"Descaling preparations, other than for household purposes",非家用除水垢剂
Seawater for industrial purposes,工业用海水
Chemical intensifiers for paper,纸用化学增强剂
Chemical intensifiers for rubber,橡胶用化学增强剂
Magnetic fluid for industrial purposes,工业用磁性液
Power steering fluid,动力转向液
Transmission fluid,传动液
Anti-boil preparations for engine coolants,引擎冷却剂用抗沸剂
Ceramic compositions for sintering [granules and powders],烧结用颗粒状和粉状陶瓷物质
Coolants for vehicle engines,运载工具引擎用冷却剂
Radiator flushing chemicals,散热器清洗化学品
Automobile body fillers,车身填充物
Car body fillers,车身填充物
Fillers for automobile bodies,车身填充物
Fillers for car bodies,车身填充物
Glaziers' putty,镶玻璃用油灰
Wallpaper removing preparations,墙纸清除剂
Chemical additives for oils,油类用化学添加剂
Oil cement [putty],油石灰(油灰)
Chemicals for the manufacture of pigments,制颜料用化学品
Antioxidants for use in manufacture,生产用抗氧化剂
Transmission oil,传动油
Chemical coatings for ophthalmic lenses,眼镜片用化学涂层
Dyeing auxiliary,染料助剂
Sodium dithionite (used in printing and dyeing),印染用保险粉
Rongalite (used in printing and dyeing),印染用吊白粉
Fixing agent,固色剂
Diffusing agent (used in printing and dyeing),印染用扩散剂
Dissolving salt (used in printing and dyeing),印染用溶解盐
Turkey red oil (used in printing and dyeing),印染用太古油
Penetrating agent (used in printing and dyeing),印染用渗透剂
Whitener,增白剂
Wool bleaching powder,漂毛粉
Resist salt,防染盐
Detergent (used in printing and dyeing),印染用净洗剂
Leveler,匀染剂
Sodium alginate (used in printing and dyeing),印染用海藻酸钠
Softener,柔软剂
Anti-creasing agent,防皱剂
Finishing agent for printing and dyeing,印染用整理剂
Fiber lubricant,纤维润滑剂
Primer fluid,起动液
Flame retardant,阻燃剂
Lubricant liquid for brake,润闸液
Electrochemical machining solution,电刷镀溶液
Casting powder,铸粉
Accelerator,促进剂
Cystamin,乌洛托品
Methenamine,乌洛托品
Naphthamine,乌洛托品
Urotropin(e),乌洛托品
Antifoamer for water-resistant slurry,防水浆消泡剂
Antioxidant,抗氧剂
Phosphor powder,荧光粉
Ink anticoagulant,油墨抗凝剂
Fragrant-fixing agent,固香剂
Industrial detergent,工业用洗净剂
Defect-detecting aerosol,探伤气雾剂
Pine camphor,松醇油
Ethyl silicon oil,硅油乙基
Anticorrosive chemicals,化学防腐剂
"Agricultural chemicals, except fungicides, herbicides, insecticides and parasiticides",除杀真菌剂、除草剂、杀虫剂、杀寄生虫剂外的农业化学品
Tree cavity fillers [forestry],树洞填充物(林业用)
Grafting wax for trees,树木嫁接用蜡
Flower preservatives,花用保鲜剂
Defoliants,脱叶剂
"Additives, chemical, to insecticides",杀虫剂用化学添加剂
Chemical additives to insecticides,杀虫剂用化学添加剂
"Additives, chemical, to fungicides",杀真菌剂用化学添加剂
Chemical additives to fungicides,杀真菌剂用化学添加剂
"Horticultural chemicals, except fungicides, herbicides, insecticides and parasiticides",除杀真菌剂、除草剂、杀虫剂、杀寄生虫剂外的园艺化学品
Chemical preparations for protection against wheat blight [smut],预防小麦枯萎病(黑穗病)的化学制剂
Chemical preparations to prevent wheat smut,预防小麦黑穗病的化学制剂
Sauce for preparing tobacco,加工烟草用加味料
Seed preserving substances,保存种籽物质
"Chemicals for use in forestry, except fungicides, herbicides, insecticides and parasiticides",除杀真菌剂、除草剂、杀虫剂、杀寄生虫剂外的林业用化学品
Vine disease preventing chemicals,预防藤蔓病化学品
Carbolineum for the protection of plants,植物保护用蒽油
Preparations of trace elements for plants,植物用微量元素制剂
Antimicrobial agent,防微生物剂
Gibberellin,赤霉素
Anti-mildew agent (for tobacco),烟草用防霉剂
Agent for suppressing hot taste,消辣剂
Lubrication promoter,增润剂
Biochemical catalysts,生物化学催化剂
"Chemical preparations for scientific purposes, other than for medical or veterinary use",科学用化学制剂(非医用、非兽医用)
